类别：所有类别

周,crude oil: (全球)
2006-01-01,58
2006-01-08,48
2006-01-15,63
2006-01-22,67
2006-01-29,58
2006-02-05,61
2006-02-12,62
2006-02-19,58
2006-02-26,55
2006-03-05,60
2006-03-12,60
2006-03-19,57
2006-03-26,54
2006-04-02,66
2006-04-09,61
2006-04-16,88
2006-04-23,100
2006-04-30,87
2006-05-07,84
2006-05-14,62
2006-05-21,64
2006-05-28,52
2006-06-04,50
2006-06-11,49
2006-06-18,52
2006-06-25,43
2006-07-02,43
2006-07-09,63
2006-07-16,66
2006-07-23,54
2006-07-30,47
2006-08-06,76
2006-08-13,66
2006-08-20,43
2006-08-27,55
2006-09-03,64
2006-09-10,73
2006-09-17,83
2006-09-24,71
2006-10-01,74
2006-10-08,63
2006-10-15,65
2006-10-22,62
2006-10-29,60
2006-11-05,50
2006-11-12,55
2006-11-19,40
2006-11-26,50
2006-12-03,46
2006-12-10,43
2006-12-17,35
2006-12-24,26
2006-12-31,45
2007-01-07,68
2007-01-14,86
2007-01-21,63
2007-01-28,54
2007-02-04,56
2007-02-11,46
2007-02-18,46
2007-02-25,46
2007-03-04,49
2007-03-11,40
2007-03-18,46
2007-03-25,48
2007-04-01,46
2007-04-08,41
2007-04-15,43
2007-04-22,42
2007-04-29,42
2007-05-06,47
2007-05-13,48
2007-05-20,46
2007-05-27,37
2007-06-03,34
2007-06-10,34
2007-06-17,36
2007-06-24,31
2007-07-01,30
2007-07-08,37
2007-07-15,37
2007-07-22,42
2007-07-29,41
2007-08-05,33
2007-08-12,34
2007-08-19,37
2007-08-26,34
2007-09-02,36
2007-09-09,45
2007-09-16,42
2007-09-23,42
2007-09-30,41
2007-10-07,34
2007-10-14,59
2007-10-21,49
2007-10-28,67
2007-11-04,80
2007-11-11,64
2007-11-18,53
2007-11-25,60
2007-12-02,55
2007-12-09,48
2007-12-16,32
2007-12-23,33
2007-12-30,46
