类别：所有类别

周,crude oil: (全球)
2012-01-01,22
2012-01-08,27
2012-01-15,24
2012-01-22,23
2012-01-29,25
2012-02-05,24
2012-02-12,21
2012-02-19,37
2012-02-26,31
2012-03-04,27
2012-03-11,26
2012-03-18,27
2012-03-25,25
2012-04-01,23
2012-04-08,26
2012-04-15,24
2012-04-22,23
2012-04-29,25
2012-05-06,26
2012-05-13,29
2012-05-20,30
2012-05-27,29
2012-06-03,31
2012-06-10,29
2012-06-17,30
2012-06-24,31
2012-07-01,26
2012-07-08,25
2012-07-15,24
2012-07-22,23
2012-07-29,23
2012-08-05,22
2012-08-12,22
2012-08-19,22
2012-08-26,24
2012-09-02,23
2012-09-09,25
2012-09-16,29
2012-09-23,26
2012-09-30,28
2012-10-07,25
2012-10-14,24
2012-10-21,27
2012-10-28,26
2012-11-04,24
2012-11-11,22
2012-11-18,22
2012-11-25,22
2012-12-02,21
2012-12-09,21
2012-12-16,20
2012-12-23,15
2012-12-30,17
2013-01-06,20
2013-01-13,21
2013-01-20,21
2013-01-27,22
2013-02-03,23
2013-02-10,21
2013-02-17,23
2013-02-24,23
2013-03-03,25
2013-03-10,23
2013-03-17,20
2013-03-24,19
2013-03-31,21
2013-04-07,24
2013-04-14,26
2013-04-21,22
2013-04-28,22
2013-05-05,21
2013-05-12,24
2013-05-19,19
2013-05-26,17
2013-06-02,19
2013-06-09,20
2013-06-16,21
2013-06-23,20
2013-06-30,21
2013-07-07,27
2013-07-14,22
2013-07-21,21
2013-07-28,21
2013-08-04,17
2013-08-11,18
2013-08-18,20
2013-08-25,25
2013-09-01,21
2013-09-08,22
2013-09-15,20
2013-09-22,20
2013-09-29,21
2013-10-06,20
2013-10-13,19
2013-10-20,22
2013-10-27,18
2013-11-03,22
2013-11-10,21
2013-11-17,20
2013-11-24,20
2013-12-01,21
2013-12-08,19
2013-12-15,16
2013-12-22,11
2013-12-29,15
2014-01-05,22
2014-01-12,19
2014-01-19,19
2014-01-26,19
2014-02-02,17
2014-02-09,20
2014-02-16,21
2014-02-23,20
2014-03-02,21
2014-03-09,20
2014-03-16,19
2014-03-23,20
2014-03-30,18
2014-04-06,17
2014-04-13,18
2014-04-20,18
2014-04-27,20
2014-05-04,18
2014-05-11,20
2014-05-18,18
2014-05-25,17
2014-06-01,17
2014-06-08,19
2014-06-15,21
2014-06-22,20
2014-06-29,16
2014-07-06,17
2014-07-13,17
2014-07-20,16
2014-07-27,17
2014-08-03,17
2014-08-10,18
2014-08-17,19
2014-08-24,18
2014-08-31,20
2014-09-07,23
2014-09-14,23
2014-09-21,23
2014-09-28,27
2014-10-05,30
2014-10-12,45
2014-10-19,34
2014-10-26,37
2014-11-02,46
2014-11-09,43
2014-11-16,41
2014-11-23,53
2014-11-30,74
2014-12-07,86
2014-12-14,100
2014-12-21,59
2014-12-28,60
