类别：所有类别

周,crude oil: (全球)
2008-01-06,28
2008-01-13,26
2008-01-20,30
2008-01-27,23
2008-02-03,24
2008-02-10,22
2008-02-17,26
2008-02-24,28
2008-03-02,36
2008-03-09,43
2008-03-16,38
2008-03-23,28
2008-03-30,31
2008-04-06,29
2008-04-13,35
2008-04-20,44
2008-04-27,45
2008-05-04,46
2008-05-11,48
2008-05-18,57
2008-05-25,56
2008-06-01,72
2008-06-08,70
2008-06-15,56
2008-06-22,55
2008-06-29,54
2008-07-06,67
2008-07-13,88
2008-07-20,100
2008-07-27,90
2008-08-03,86
2008-08-10,86
2008-08-17,68
2008-08-24,55
2008-08-31,78
2008-09-07,78
2008-09-14,96
2008-09-21,71
2008-09-28,63
2008-10-05,92
2008-10-12,96
2008-10-19,85
2008-10-26,82
2008-11-02,65
2008-11-09,71
2008-11-16,74
2008-11-23,59
2008-11-30,70
2008-12-07,66
2008-12-14,78
2008-12-21,61
2008-12-28,54
2009-01-04,69
2009-01-11,67
2009-01-18,58
2009-01-25,48
2009-02-01,43
2009-02-08,50
2009-02-15,48
2009-02-22,43
2009-03-01,42
2009-03-08,39
2009-03-15,39
2009-03-22,36
2009-03-29,32
2009-04-05,29
2009-04-12,29
2009-04-19,34
2009-04-26,26
2009-05-03,29
2009-05-10,33
2009-05-17,32
2009-05-24,28
2009-05-31,36
2009-06-07,34
2009-06-14,31
2009-06-21,30
2009-06-28,26
2009-07-05,35
2009-07-12,33
2009-07-19,27
2009-07-26,28
2009-08-02,28
2009-08-09,26
2009-08-16,29
2009-08-23,26
2009-08-30,24
2009-09-06,25
2009-09-13,24
2009-09-20,28
2009-09-27,27
2009-10-04,28
2009-10-11,25
2009-10-18,27
2009-10-25,25
2009-11-01,26
2009-11-08,25
2009-11-15,22
2009-11-22,22
2009-11-29,24
2009-12-06,24
2009-12-13,20
2009-12-20,15
2009-12-27,18
