name,precision,recall,accuracy
KNN,72.73%,42.11%,63.16%
LR,64.71%,57.89%,63.16%
RF,75.00%,47.37%,65.79%
DT,53.85%,36.84%,52.63%
GBDT,71.43%,52.63%,65.79%
SVM,65.00%,68.42%,65.79%
