date,wti,sentiment
2014/06/13,3.34376560358,1.27368732662
2014/07/11,3.16686668621,-0.720466661305
2014/07/18,3.10703322886,1.57181568967
2014/07/25,3.20979068822,0.140231280932
2014/08/01,2.98411449583,0.178331842962
2014/08/08,2.83648194346,-0.643298858992
2014/08/15,2.81501994246,0.130706140425
2014/08/22,2.66673702642,1.683902034
2014/08/29,2.62836557008,2.18790416951
2014/09/05,2.61015538741,0.189271608297
2014/09/12,2.50609720072,-0.998148041372
2014/09/19,2.57763720407,-1.45699565088
2014/09/26,2.50284538239,-0.0883720912439
2014/10/03,2.44106083404,-0.50346768809
2014/10/10,2.19262191331,-1.358597669
2014/10/17,1.88955244458,-1.65113014381
2014/10/24,1.81606135023,-0.619011406705
2014/10/31,1.77899062122,-1.2874191904
2014/11/07,1.58258079384,-0.777147232055
2014/11/14,1.47006787948,-0.770418055861
2014/11/21,1.39657678513,-0.458145753945
2014/11/28,1.20471950342,-1.72638961414
2014/12/05,0.863278578341,-2.21684546832
2014/12/12,0.468507832583,-1.07010612188
2014/12/19,0.122514361837,-2.24530933665
2014/12/26,0.119262543502,-0.232319747787
2015/01/02,-0.031621827199,-1.38287188373
2015/01/09,-0.335341659602,-2.28229756764
2015/01/16,-0.443952391961,-1.33740592819
2015/01/23,-0.480372757302,-1.12257923894
2015/01/30,-0.532401850648,-1.02856836915
2015/02/06,-0.211772562907,-1.34925400013
2015/02/13,-0.179904743233,-0.219576059933
2015/02/20,-0.13763110489,-0.684264881383
2015/02/27,-0.284613293591,0.481126237602
2015/03/06,-0.228031654578,-0.0394616023132
2015/03/13,-0.405580935619,-0.549511380915
2015/03/20,-0.622152036669,-0.575212606063
2015/03/27,-0.326236568267,-0.0514393625334
2015/04/03,-0.326886931934,0.272711066495
2015/04/10,-0.13763110489,0.720009600805
2015/04/17,0.0587787224885,0.816531795518
2015/04/24,0.171291636848,-0.123303109118
2015/05/01,0.284454914874,0.669753894662
2015/05/08,0.378107282895,0.0375730343751
2015/05/15,0.396967829233,0.992363748
2015/05/22,0.345589099555,0.580051113123
2015/05/29,0.290958551542,0.394828494493
2015/06/05,0.373554737228,0.416889416028
2015/06/12,0.402170738568,1.3931908653
2015/06/19,0.389163465231,-0.744968074204
2015/06/26,0.400219647567,-1.8971165064
2015/07/03,0.261041822868,0.24950526399
2015/07/10,-0.0973085575475,-1.05390960682
2015/07/17,-0.144134741558,0.327280867934
2015/07/24,-0.302173112595,-1.21799422329
2015/07/31,-0.386720389281,0.095861887856
2015/08/07,-0.584430943993,-1.15832720022
2015/08/14,-0.695643131019,-0.413347473259
2015/08/21,-0.814659682046,-1.95160054699
2015/08/28,-0.853031138388,-1.18058820275
2015/09/04,-0.466715120299,-0.71307041521
2015/09/11,-0.56882221599,-0.0157494730111
2015/09/18,-0.549311305985,-0.671470046256
2015/09/25,-0.545409123984,-0.593392646832
2015/10/02,-0.578577670992,0.616114771377
2015/10/09,-0.362656933609,0.23028715482
2015/10/16,-0.466064756633,-0.516338869387
2015/10/23,-0.55841639732,-1.33090534548
2015/10/30,-0.569472579656,-1.25029811995
2015/11/06,-0.516142758977,-0.475832765435
2015/11/13,-0.732713860027,-0.510786406198
2015/11/20,-0.851080047388,-0.481083755057
2015/11/27,-0.752224770032,-0.360672718177
2015/12/04,-0.845877138053,-1.05470753366
2015/12/11,-1.10342115011,-1.90017751886
2015/12/18,-1.17951369913,-1.40979634575
2015/12/25,-1.12423278745,-0.987202694836
2016/01/08,-1.25365515715,-1.77298559805
2016/01/15,-1.51640207854,-2.24552727959
2016/01/22,-1.60810335556,-1.96066252492
2016/01/29,-1.41234389185,-1.02338540535
2016/02/05,-1.47152698553,-0.76055222302
2016/02/12,-1.67509081324,-1.84099794459
2016/02/19,-1.55282244388,-0.126315537554
2016/02/26,-1.40714098252,-0.374208067327
2016/03/04,-1.25170406615,0.370512818157
2016/03/11,-1.0468395111,0.119136421206
2016/03/18,-1.01367096409,-0.236481318288
2016/04/01,-1.02017460076,-0.575212606063
2016/04/08,-1.08260951277,-0.18628415009
2016/04/15,-0.824415137049,-0.897412510417
2016/04/22,-0.769134225369,-1.11685098348
2016/04/29,-0.592885671662,-0.112987622892
2016/05/06,-0.628655673337,-0.116302383728
2016/05/13,-0.549961669652,0.784428559172
2016/05/20,-0.382167843613,-0.707190224299
2016/05/27,-0.318432204265,-0.732820119032
2016/06/03,-0.324935840933,0.146736254937
2016/06/10,-0.242339655248,-1.11631168208
2016/06/17,-0.389972207615,-1.88693370285
2016/06/24,-0.317781840598,-0.885020206403
2016/07/01,-0.365908751943,0.0734760532835
2016/07/08,-0.504436212975,-0.342958415507
2016/07/15,-0.540856578316,-0.129236424612
2016/07/22,-0.595487126329,-0.378016574376
2016/07/29,-0.765232043368,-0.708453168014
2016/08/05,-0.850429683721,-1.04459197172
2016/08/12,-0.702797131354,0.0265541942217
2016/08/19,-0.438099118959,0.0521445588061
2016/08/26,-0.424441481956,0.35250584081
2016/09/02,-0.57077330699,0.411302041731
2016/09/09,-0.516793122644,1.38317225732
2016/09/16,-0.622152036669,0.187040542854
2016/09/23,-0.606543308665,-0.503668217364
2016/09/30,-0.466064756633,1.0070190671
2016/10/07,-0.285263657258,0.893098386632
2016/10/14,-0.22543019991,0.612678250096
2016/10/21,-0.213723653908,0.631698995791
2016/10/28,-0.278760020589,0.285223007162
2016/11/04,-0.545409123984,-0.836536030792
2016/11/11,-0.582479852993,0.0093061012199
2016/11/18,-0.56882221599,0.244873669604
2016/11/25,-0.39517511695,0.725929864828
