date,wti,senti
2014/06/10,3.28806053458942,1.17331284652363
2014/06/11,3.27348941165047,1.14413594218041
2014/06/12,3.25891713627379,1.11496732296865
2014/06/13,3.24434154016121,1.08582823560499
2014/06/16,3.22976058020578,1.0567314503512
2014/06/17,3.21517263446587,1.02768513241705
2014/06/23,3.20057660984342,0.998698461541319
2014/06/24,3.18597179387058,0.969783655669772
2014/06/25,3.17135787557929,0.940961046526111
2014/06/26,3.15673499058454,0.912282814241003
2014/07/02,3.1421040608166,0.883797315089522
2014/07/03,3.12746658862735,0.855553816353414
2014/07/09,3.11282411291738,0.827593264437153
2014/07/10,3.09817811925469,0.799950979405921
2014/07/11,3.08352929809534,0.772646092387492
2014/07/14,3.06887796685892,0.745693409914777
2014/07/15,3.05422316883584,0.719097991664428
2014/07/16,3.039562824871,0.69286703648637
2014/07/17,3.02489338767068,0.667029462981312
2014/07/18,3.01021055373841,0.641612727743684
2014/07/21,2.99551033756802,0.616638037810569
2014/07/22,2.9807891559622,0.592122558545444
2014/07/23,2.96604464651752,0.568079931679325
2014/07/24,2.95127569911806,0.544516092480623
2014/07/25,2.93648194191391,0.521442702407269
2014/07/28,2.9216633482172,0.498864479461738
2014/07/29,2.90682036030979,0.476782377255233
2014/07/30,2.8919538009595,0.455195154972975
2014/07/31,2.87706464990814,0.434085971363638
2014/08/01,2.8621538205413,0.413433817201863
2014/08/04,2.84722126065009,0.393212426401689
2014/08/05,2.83226592743811,0.373405273377057
2014/08/06,2.81728610073746,0.353993881393608
2014/08/07,2.8022790589512,0.334952716245765
2014/08/08,2.78724097249699,0.316250991014955
2014/08/11,2.772167222427,0.297847477180104
2014/08/12,2.75705266616641,0.279697556963405
2014/08/13,2.74189196147721,0.261750364594294
2014/08/14,2.7266793402124,0.243952294109645
2014/08/15,2.71140883153829,0.226249567733936
2014/08/18,2.69607340865452,0.208586652031772
2014/08/19,2.68066596138352,0.190914094511285
2014/08/20,2.6651789605583,0.173204626105762
2014/08/21,2.64960364487899,0.15542676270341
2014/08/22,2.63393090824794,0.137560719262517
2014/08/25,2.61815040099666,0.119599887248096
2014/08/26,2.60225050111346,0.101527018871837
2014/08/27,2.58621829113181,0.0833432679531161
2014/08/28,2.57003992710195,0.0650405257202318
2014/08/29,2.55370077195453,0.0466187729003973
2014/09/02,2.53718584388742,0.0280893503597655
2014/09/03,2.52048062335113,0.00947353653900596
2014/09/04,2.50356969309723,-0.00920446810992168
2014/09/05,2.48643815163355,-0.0279105742405172
2014/09/08,2.46907121733113,-0.0466095385859244
2014/09/09,2.45145380042944,-0.0652812664368062
2014/09/10,2.43357033280333,-0.0839180150516317
2014/09/11,2.41540494736234,-0.10251085606851
2014/09/12,2.39694109449112,-0.121059791438055
2014/09/15,2.3781622423971,-0.139569143812822
2014/09/16,2.35905174914536,-0.158045889175624
2014/09/17,2.33959332145272,-0.176480935176901
2014/09/18,2.31977210866078,-0.194877843918815
2014/09/19,2.29957463073665,-0.213249801541893
2014/09/22,2.27898827927773,-0.231618750232468
2014/09/23,2.25800115463185,-0.24997398007871
2014/09/24,2.23660179494723,-0.268315776136469
2014/09/25,2.21477935742692,-0.286637503762347
2014/09/26,2.19252438226307,-0.304929669295439
2014/09/29,2.16982883063279,-0.323179277719327
2014/09/30,2.14668674416376,-0.341372797742997
2014/10/01,2.12309491745778,-0.359465801219009
2014/10/02,2.09905142991249,-0.377424008099984
2014/10/03,2.07455562010312,-0.395219782710766
2014/10/06,2.0496084065197,-0.412822903407513
2014/10/07,2.02421186327466,-0.430201201736083
2014/10/08,1.99836970234625,-0.447330520733995
2014/10/09,1.97208674999466,-0.464196910252887
2014/10/10,1.94536840247063,-0.480797184984665
2014/10/13,1.91822008512528,-0.497119873564974
2014/10/14,1.89064748271605,-0.513150450440357
2014/10/15,1.86265671025107,-0.528879972284035
2014/10/16,1.83425264236804,-0.544303581568018
2014/10/17,1.80543910033757,-0.559416742628968
2014/10/20,1.77621951551308,-0.57421605063688
2014/10/21,1.7465971758033,-0.588705250647077
2014/10/22,1.71657543181536,-0.602883983289107
2014/10/23,1.68615797371397,-0.6167550986589
2014/10/24,1.65534795699277,-0.630326995351659
2014/10/27,1.6241489953551,-0.643605200506557
2014/10/28,1.5925648768964,-0.656579350144472
2014/10/29,1.56059980000773,-0.669244314578637
2014/10/30,1.52825881990508,-0.681597018302211
2014/10/31,1.49554847194812,-0.693637701089737
2014/11/03,1.46247649963538,-0.705363864758127
2014/11/04,1.42905182690757,-0.716769841191193
2014/11/05,1.39528396340027,-0.72785945327268
2014/11/06,1.36118249451387,-0.738635784219136
2014/11/07,1.32675806151296,-0.749098987016832
2014/11/10,1.29202225280959,-0.759246054155458
2014/11/11,1.25698822694172,-0.769071513708515
2014/11/12,1.22167037695149,-0.778570449159022
2014/11/13,1.18608486148405,-0.78773758813754
2014/11/14,1.15024951028567,-0.796559282227512
2014/11/17,1.11418266452263,-0.805023230211199
2014/11/18,1.07790423078333,-0.813116595153195
2014/11/19,1.04143587244709,-0.82082517143035
2014/11/20,1.00480079220666,-0.828127607291531
2014/11/21,0.968023998972513,-0.835001365348718
2014/11/24,0.931133073466907,-0.841422960170387
2014/11/25,0.894158901107437,-0.847360615546958
2014/11/26,0.8571356041305,-0.85279241859007
2014/11/28,0.820100010757646,-0.857711062613013
2014/12/01,0.783091747702762,-0.862101160002744
2014/12/02,0.74614988475337,-0.865948085584346
2014/12/03,0.70931459663899,-0.86924110678542
2014/12/04,0.672626424294271,-0.871975915362392
2014/12/05,0.636126800540098,-0.87415054889416
