x0,x1,x2,x3,y
3.20979068822,3.10703322886,3.16686668621,3.34376560358,0
2.98411449583,3.20979068822,3.10703322886,3.16686668621,0
2.83648194346,2.98411449583,3.20979068822,3.10703322886,0
2.81501994246,2.83648194346,2.98411449583,3.20979068822,0
2.66673702642,2.81501994246,2.83648194346,2.98411449583,0
2.62836557008,2.66673702642,2.81501994246,2.83648194346,0
2.61015538741,2.62836557008,2.66673702642,2.81501994246,0
2.50609720072,2.61015538741,2.62836557008,2.66673702642,1
2.57763720407,2.50609720072,2.61015538741,2.62836557008,0
2.50284538239,2.57763720407,2.50609720072,2.61015538741,0
2.44106083404,2.50284538239,2.57763720407,2.50609720072,0
2.19262191331,2.44106083404,2.50284538239,2.57763720407,0
1.88955244458,2.19262191331,2.44106083404,2.50284538239,0
1.81606135023,1.88955244458,2.19262191331,2.44106083404,0
1.77899062122,1.81606135023,1.88955244458,2.19262191331,0
1.58258079384,1.77899062122,1.81606135023,1.88955244458,0
1.47006787948,1.58258079384,1.77899062122,1.81606135023,0
1.39657678513,1.47006787948,1.58258079384,1.77899062122,0
1.20471950342,1.39657678513,1.47006787948,1.58258079384,0
0.863278578341,1.20471950342,1.39657678513,1.47006787948,0
0.468507832583,0.863278578341,1.20471950342,1.39657678513,0
0.122514361837,0.468507832583,0.863278578341,1.20471950342,0
0.119262543502,0.122514361837,0.468507832583,0.863278578341,0
-0.031621827199,0.119262543502,0.122514361837,0.468507832583,0
-0.335341659602,-0.031621827199,0.119262543502,0.122514361837,0
-0.443952391961,-0.335341659602,-0.031621827199,0.119262543502,0
-0.480372757302,-0.443952391961,-0.335341659602,-0.031621827199,0
-0.532401850648,-0.480372757302,-0.443952391961,-0.335341659602,1
-0.211772562907,-0.532401850648,-0.480372757302,-0.443952391961,1
-0.179904743233,-0.211772562907,-0.532401850648,-0.480372757302,1
-0.13763110489,-0.179904743233,-0.211772562907,-0.532401850648,0
-0.284613293591,-0.13763110489,-0.179904743233,-0.211772562907,1
-0.228031654578,-0.284613293591,-0.13763110489,-0.179904743233,0
-0.405580935619,-0.228031654578,-0.284613293591,-0.13763110489,0
-0.622152036669,-0.405580935619,-0.228031654578,-0.284613293591,1
-0.326236568267,-0.622152036669,-0.405580935619,-0.228031654578,0
-0.326886931934,-0.326236568267,-0.622152036669,-0.405580935619,1
-0.13763110489,-0.326886931934,-0.326236568267,-0.622152036669,1
0.0587787224885,-0.13763110489,-0.326886931934,-0.326236568267,1
0.171291636848,0.0587787224885,-0.13763110489,-0.326886931934,1
0.284454914874,0.171291636848,0.0587787224885,-0.13763110489,1
0.378107282895,0.284454914874,0.171291636848,0.0587787224885,1
0.396967829233,0.378107282895,0.284454914874,0.171291636848,0
0.345589099555,0.396967829233,0.378107282895,0.284454914874,0
0.290958551542,0.345589099555,0.396967829233,0.378107282895,1
0.373554737228,0.290958551542,0.345589099555,0.396967829233,1
0.402170738568,0.373554737228,0.290958551542,0.345589099555,0
0.389163465231,0.402170738568,0.373554737228,0.290958551542,1
0.400219647567,0.389163465231,0.402170738568,0.373554737228,0
0.261041822868,0.400219647567,0.389163465231,0.402170738568,0
-0.0973085575475,0.261041822868,0.400219647567,0.389163465231,0
-0.144134741558,-0.0973085575475,0.261041822868,0.400219647567,0
-0.302173112595,-0.144134741558,-0.0973085575475,0.261041822868,0
-0.386720389281,-0.302173112595,-0.144134741558,-0.0973085575475,0
-0.584430943993,-0.386720389281,-0.302173112595,-0.144134741558,0
-0.695643131019,-0.584430943993,-0.386720389281,-0.302173112595,0
-0.814659682046,-0.695643131019,-0.584430943993,-0.386720389281,0
-0.853031138388,-0.814659682046,-0.695643131019,-0.584430943993,1
-0.466715120299,-0.853031138388,-0.814659682046,-0.695643131019,0
-0.56882221599,-0.466715120299,-0.853031138388,-0.814659682046,1
-0.549311305985,-0.56882221599,-0.466715120299,-0.853031138388,1
-0.545409123984,-0.549311305985,-0.56882221599,-0.466715120299,0
-0.578577670992,-0.545409123984,-0.549311305985,-0.56882221599,1
-0.362656933609,-0.578577670992,-0.545409123984,-0.549311305985,0
-0.466064756633,-0.362656933609,-0.578577670992,-0.545409123984,0
-0.55841639732,-0.466064756633,-0.362656933609,-0.578577670992,0
-0.569472579656,-0.55841639732,-0.466064756633,-0.362656933609,1
-0.516142758977,-0.569472579656,-0.55841639732,-0.466064756633,0
-0.732713860027,-0.516142758977,-0.569472579656,-0.55841639732,0
-0.851080047388,-0.732713860027,-0.516142758977,-0.569472579656,1
-0.752224770032,-0.851080047388,-0.732713860027,-0.516142758977,0
-0.845877138053,-0.752224770032,-0.851080047388,-0.732713860027,0
-1.10342115011,-0.845877138053,-0.752224770032,-0.851080047388,0
-1.17951369913,-1.10342115011,-0.845877138053,-0.752224770032,1
-1.12423278745,-1.17951369913,-1.10342115011,-0.845877138053,0
-1.25365515715,-1.12423278745,-1.17951369913,-1.10342115011,0
-1.51640207854,-1.25365515715,-1.12423278745,-1.17951369913,0
-1.60810335556,-1.51640207854,-1.25365515715,-1.12423278745,1
-1.41234389185,-1.60810335556,-1.51640207854,-1.25365515715,0
-1.47152698553,-1.41234389185,-1.60810335556,-1.51640207854,0
-1.67509081324,-1.47152698553,-1.41234389185,-1.60810335556,1
-1.55282244388,-1.67509081324,-1.47152698553,-1.41234389185,1
-1.40714098252,-1.55282244388,-1.67509081324,-1.47152698553,1
-1.25170406615,-1.40714098252,-1.55282244388,-1.67509081324,1
-1.0468395111,-1.25170406615,-1.40714098252,-1.55282244388,1
-1.01367096409,-1.0468395111,-1.25170406615,-1.40714098252,0
-1.02017460076,-1.01367096409,-1.0468395111,-1.25170406615,0
-1.08260951277,-1.02017460076,-1.01367096409,-1.0468395111,1
-0.824415137049,-1.08260951277,-1.02017460076,-1.01367096409,1
-0.769134225369,-0.824415137049,-1.08260951277,-1.02017460076,1
-0.592885671662,-0.769134225369,-0.824415137049,-1.08260951277,0
-0.628655673337,-0.592885671662,-0.769134225369,-0.824415137049,1
-0.549961669652,-0.628655673337,-0.592885671662,-0.769134225369,1
-0.382167843613,-0.549961669652,-0.628655673337,-0.592885671662,1
-0.318432204265,-0.382167843613,-0.549961669652,-0.628655673337,0
-0.324935840933,-0.318432204265,-0.382167843613,-0.549961669652,1
-0.242339655248,-0.324935840933,-0.318432204265,-0.382167843613,0
-0.389972207615,-0.242339655248,-0.324935840933,-0.318432204265,1
-0.317781840598,-0.389972207615,-0.242339655248,-0.324935840933,0
-0.365908751943,-0.317781840598,-0.389972207615,-0.242339655248,0
-0.504436212975,-0.365908751943,-0.317781840598,-0.389972207615,0
-0.540856578316,-0.504436212975,-0.365908751943,-0.317781840598,0
-0.595487126329,-0.540856578316,-0.504436212975,-0.365908751943,0
