name,precision,recall,accuracy
KNN,44.44%,48.35%,45.74%
LR,48.51%,71.43%,49.47%
RF,44.71%,41.76%,46.81%
DT,47.47%,51.65%,48.94%
GBDT,41.67%,43.96%,43.09%
SVM,48.51%,71.43%,49.47%
