name,precision,recall,accuracy
KNN,57.14%,70.59%,63.16%
LR,57.14%,47.06%,60.53%
RF,66.67%,35.29%,63.16%
DT,54.55%,35.29%,57.89%
GBDT,64.29%,52.94%,65.79%
SVM,47.62%,58.82%,52.63%
