name,precision,recall,accuracy
KNN,47.52%,52.75%,49.47%
LR,53.33%,70.33%,56.32%
RF,45.35%,42.86%,47.89%
DT,48.98%,52.75%,51.05%
GBDT,45.54%,50.55%,47.37%
