x0,x1,x2,x3,x4,x5,y
44.45,46.23,45.15,45.59,0.0,0.07586206896551724,1
44.53,44.45,46.23,45.15,0.02702702702702703,0.0,1
48.24,44.53,44.45,46.23,-0.053763440860215055,0.02702702702702703,1
49.57,48.24,44.53,44.45,0.0625,-0.053763440860215055,0
53.05,49.57,48.24,44.53,0.12,0.0625,1
48.45,53.05,49.57,48.24,0.23595505617977527,0.12,1
50.48,48.45,53.05,49.57,0.12149532710280374,0.23595505617977527,1
51.69,50.48,48.45,53.05,0.16778523489932887,0.12149532710280374,0
52.86,51.69,50.48,48.45,0.04477611940298507,0.16778523489932887,0
50.02,52.86,51.69,50.48,0.1111111111111111,0.04477611940298507,1
48.84,50.02,52.86,51.69,0.2537313432835821,0.1111111111111111,1
51.21,48.84,50.02,52.86,0.05555555555555555,0.2537313432835821,1
52.78,51.21,48.84,50.02,-0.02127659574468085,0.05555555555555555,0
53.53,52.78,51.21,48.84,0.11688311688311688,-0.02127659574468085,0
52.14,53.53,52.78,51.21,0.09615384615384616,0.11688311688311688,0
51.16,52.14,53.53,52.78,0.26153846153846155,0.09615384615384616,0
50.34,51.16,52.14,53.53,0.07042253521126761,0.26153846153846155,0
49.45,50.34,51.16,52.14,0.44,0.07042253521126761,1
49.28,49.45,50.34,51.16,0.12727272727272726,0.44,0
50.99,49.28,49.45,50.34,0.08,0.12727272727272726,1
48.17,50.99,49.28,49.45,0.3333333333333333,0.08,0
49.76,48.17,50.99,49.28,0.2413793103448276,0.3333333333333333,1
49.59,49.76,48.17,50.99,-0.02857142857142857,0.2413793103448276,1
50.52,49.59,49.76,48.17,0.20754716981132076,-0.02857142857142857,0
51.53,50.52,49.59,49.76,0.08536585365853659,0.20754716981132076,0
50.76,51.53,50.52,49.59,0.1891891891891892,0.08536585365853659,1
49.61,50.76,51.53,50.52,0.024390243902439025,0.1891891891891892,0
50.0,49.61,50.76,51.53,0.01098901098901099,0.024390243902439025,0
48.29,50.0,49.61,50.76,0.16666666666666666,0.01098901098901099,0
48.17,48.29,50.0,49.61,0.15789473684210525,0.16666666666666666,0
47.05,48.17,48.29,50.0,0.12258064516129032,0.15789473684210525,0
44.84,47.05,48.17,48.29,0.031055900621118012,0.12258064516129032,0
43.88,44.84,47.05,48.17,0.041666666666666664,0.031055900621118012,1
43.46,43.88,44.84,47.05,0.027522935779816515,0.041666666666666664,0
44.66,43.46,43.88,44.84,0.2679738562091503,0.027522935779816515,1
43.96,44.66,43.46,43.88,0.08695652173913043,0.2679738562091503,1
45.72,43.96,44.66,43.46,0.1590909090909091,0.08695652173913043,1
47.45,45.72,43.96,44.66,0.2,0.1590909090909091,1
47.51,47.45,45.72,43.96,0.06976744186046512,0.2,1
49.21,47.51,47.45,45.72,0.40229885057471265,0.06976744186046512,0
51.43,49.21,47.51,47.45,0.32413793103448274,0.40229885057471265,0
48.87,51.43,49.21,47.51,-0.13333333333333333,0.32413793103448274,0
48.68,48.87,51.43,49.21,-0.08108108108108109,-0.13333333333333333,1
47.6,48.68,48.87,51.43,0.1794871794871795,-0.08108108108108109,0
50.09,47.6,48.68,48.87,0.5,0.1794871794871795,1
49.14,50.09,47.6,48.68,0.11904761904761904,0.5,1
52.14,49.14,50.09,47.6,0.21348314606741572,0.11904761904761904,0
53.98,52.14,49.14,50.09,0.15517241379310345,0.21348314606741572,1
50.42,53.98,52.14,49.14,0.42574257425742573,0.15517241379310345,1
50.79,50.42,53.98,52.14,0.0962962962962963,0.42574257425742573,1
51.64,50.79,50.42,53.98,0.26744186046511625,0.0962962962962963,1
51.91,51.64,50.79,50.42,0.17857142857142858,0.26744186046511625,1
53.29,51.91,51.64,50.79,0.22580645161290322,0.17857142857142858,1
56.39,53.29,51.91,51.64,0.30275229357798167,0.22580645161290322,0
56.71,56.39,53.29,51.91,0.18248175182481752,0.30275229357798167,1
55.74,56.71,56.39,53.29,0.1267605633802817,0.18248175182481752,0
56.38,55.74,56.71,56.39,0.15789473684210525,0.1267605633802817,1
55.26,56.38,55.74,56.71,0.015151515151515152,0.15789473684210525,1
56.16,55.26,56.38,55.74,0.04,0.015151515151515152,0
57.74,56.16,55.26,56.38,0.13274336283185842,0.04,0
57.15,57.74,56.16,55.26,0.20754716981132076,0.13274336283185842,1
56.99,57.15,57.74,56.16,0.3469387755102041,0.20754716981132076,1
57.06,56.99,57.15,57.74,0.29577464788732394,0.3469387755102041,1
58.58,57.06,56.99,57.15,0.16883116883116883,0.29577464788732394,0
59.63,58.58,57.06,56.99,0.1794871794871795,0.16883116883116883,0
59.15,59.63,58.58,57.06,0.15436241610738255,0.1794871794871795,1
58.93,59.15,59.63,58.58,0.17037037037037037,0.15436241610738255,1
60.4,58.93,59.15,59.63,0.1527777777777778,0.17037037037037037,0
60.93,60.4,58.93,59.15,0.15337423312883436,0.1527777777777778,1
58.94,60.93,60.4,58.93,0.34065934065934067,0.15337423312883436,0
59.39,58.94,60.93,60.4,0.3103448275862069,0.34065934065934067,1
59.25,59.39,58.94,60.93,0.2345679012345679,0.3103448275862069,0
60.75,59.25,59.39,58.94,0.07317073170731707,0.2345679012345679,0
60.5,60.75,59.25,59.39,0.30201342281879195,0.07317073170731707,0
59.88,60.5,60.75,59.25,0.12903225806451613,0.30201342281879195,0
59.69,59.88,60.5,60.75,0.12857142857142856,0.12903225806451613,0
59.43,59.69,59.88,60.5,0.16279069767441862,0.12857142857142856,1
57.26,59.43,59.69,59.88,0.29133858267716534,0.16279069767441862,1
58.98,57.26,59.43,59.69,0.4,0.29133858267716534,0
60.72,58.98,57.26,59.43,0.3577981651376147,0.4,0
59.72,60.72,58.98,57.26,0.19444444444444445,0.3577981651376147,0
58.03,59.72,60.72,58.98,0.07526881720430108,0.19444444444444445,1
57.51,58.03,59.72,60.72,0.1388888888888889,0.07526881720430108,1
