name,precision,recall,accuracy
NB,47.19%,45.65%,48.95%
KNN,50.00%,55.43%,51.58%
LR,52.78%,61.96%,54.74%
RF,49.45%,48.91%,51.05%
DT,51.61%,52.17%,53.16%
GBDT,50.54%,51.09%,52.11%
